"姓名","部门","状态","电话号码","入职时间","工龄","毕业院校","最高学历","劳动合同生效日期","劳动合同结束日期"
"张三","研发部","在职","138xxxx1234","2020/05/01","3 年 5 个月","清华大学","硕士","2020/05/01","2025/04/30"
"李四","市场部","在职","139xxxx2345","2018/07/10","5 年 2 个月","北京大学","本科","2018/07/10","2026/07/09"
"王五","财务部","在职","137xxxx3456","2021/03/15","2 年 6 个月","复旦大学","硕士","2021/03/15","2027/03/14"
"赵六","销售部","在职","136xxxx4567","2019/09/20","4 年","上海交通大学","本科","2019/09/20","2024/09/19"
"孙七","人力资源部","在职","135xxxx5678","2022/01/05","1 年 8 个月","浙江大学","本科","2022/01/05","2027/01/04"
"周八","行政部","在职","134xxxx6789","2017/06/08","6 年 3 个月","南京大学","本科","2017/06/08","2025/06/07"
"吴九","技术部","在职","133xxxx7890","2020/11/12","2 年 10 个月","中山大学","硕士","2020/11/12","2026/11/11"
"郑十","客服部","在职","132xxxx8901","2018/12/25","4 年 9 个月","华中科技大学","本科","2018/12/25","2025/12/24"
"王十一","采购部","在职","131xxxx9012","2021/08/18","2 年 1 个月","哈尔滨工业大学","本科","2021/08/18","2026/08/17"
"李十二","生产部","在职","130xxxx0123","2019/04/05","4 年 5 个月","西安交通大学","本科","2019/04/05","2025/04/04"
"赵十三","研发部","在职","129xxxx1234","2022/06/30","1 年 3 个月","四川大学","硕士","2022/06/30","2027/06/29"
"孙十四","市场部","在职","128xxxx2345","2017/11/16","5 年 10 个月","北京邮电大学","本科","2017/11/16","2024/11/15"
"周十五","财务部","在职","127xxxx3456","2020/02/28","3 年 6 个月","西安电子科技大学","硕士","2020/02/28","2026/02/27"
"吴十六","销售部","在职","126xxxx4567","2018/08/12","4 年 1 个月","厦门大学","本科","2018/08/12","2025/08/11"
"郑十七","人力资源部","在职","125xxxx5678","2021/05/20","2 年 4 个月","同济大学","本科","2021/05/20","2026/05/19"
"王十八","行政部","在职","124xxxx6789","2019/01/18","3 年 8 个月","北京航空航天大学","本科","2019/01/18","2025/01/17"
"李十九","技术部","在职","123xxxx7890","2020/09/25","2 年 11 个月","北京理工大学","硕士","2020/09/25","2026/09/24"
"赵二十","客服部","在职","122xxxx8901","2018/03/06","5 年 6 个月","东南大学","本科","2018/03/06","2025/03/05" 
