"基金名称","出资主体","时间","现金流类型","金额","本金","收益","备注"
"稳健一号","张三","2023/05/10","申购","20000","20000","0","长期投资"
"成长先锋","李四","2023/06/15","赎回","15000","10000","5000","资金需求"
"价值精选","王五","2023/07/20","分红","3000","2500","500","正常分红"
"平衡配置","赵六","2023/08/25","申购","18000","18000","0","市场看好"
"新兴产业","孙七","2023/09/30","赎回","12000","8000","4000","调整投资"
"蓝筹优势","周八","2023/10/15","申购","25000","25000","0","价值投资"
"量化策略","吴九","2023/11/20","分红","2800","2000","800","基金盈利"
"主题投资","郑十","2023/12/25","赎回","16000","10000","6000","达到预期"
"消费升级","王十一","2024/01/30","申购","22000","22000","0","行业布局"
"医疗健康","李十二","2024/02/15","赎回","10000","6000","4000","资产配置"
"科技驱动","赵十三","2024/03/25","申购","15000","15000","0","新兴领域"
"金融创新","孙十四","2024/04/30","分红","2000","1500","500","业绩良好"
"环保主题","周十五","2024/05/15","赎回","8000","5000","3000","获利了结"
"文化传媒","吴十六","2024/06/20","申购","12000","12000","0","长期持有"
"新能源产业","郑十七","2024/07/25","赎回","9000","6000","3000","市场波动"
"高端制造","王十八","2024/08/30","申购","18000","18000","0","产业趋势"
"养老目标","李十九","2024/09/15","分红","1600","1200","400","定期分红"
"债券基金","赵二十","2024/10/20","赎回","7000","5000","2000","风险控制"
"混合基金","孙二一","2024/11/25","申购","10000","10000","0","平衡配置"
"指数基金","周二二","2024/12/30","赎回","6000","4000","2000","收益兑现"
