"被投企业名称","所属母基金","所属子基金","投资经理","项目组成员","统一社会信用代码"
"华瑞科技","丰泽母基金","明辉子基金","李华","张华、王强","91123456789012345"
"永盛制造","宏远母基金","辉腾子基金","赵刚","孙明、陈丽","91234567890123467"
"明辉医疗","金瑞母基金","宏远子基金","孙燕","李强、王丽","91345678901234789"
"辉腾传媒","瑞丰母基金","金瑞子基金","周敏","刘勇、赵伟","91456789012348901"
"宏远金融","晟宏母基金","瑞丰子基金","吴昊","孙燕、周敏","91567890123450123"
"金瑞农业","永华母基金","晟宏子基金","郑辉","吴昊、孙燕","91678901234561234"
"瑞丰工业","明盛母基金","永华子基金","王涛","郑辉、周敏","91789012345672345"
"晟宏贸易","辉宏母基金","明盛子基金","刘梅","王涛、吴昊","91890123456783456"
"永华服务","宏瑞母基金","辉宏子基金","陈杰","刘梅、郑辉","91901234567894567"
"明盛教育","金辉母基金","宏瑞子基金","李敏","陈杰、王涛","91012345678905678"
"辉宏文创","瑞昌母基金","金辉子基金","张敏","李敏、刘梅","91023456789016789"
"宏瑞物流","丰瑞母基金","瑞昌子基金","王鹏","张敏、陈杰","91034567890127890"
"金辉能源","永丰母基金","丰瑞子基金","赵娜","王鹏、李敏","91045678901238901"
"瑞昌制造","明瑞母基金","永丰子基金","孙浩","赵娜、张敏","91056789012390123"
"丰瑞医疗","辉丰母基金","明瑞子基金","周阳","孙浩、王鹏","91067890123912345"
"永丰科技","宏丰母基金","辉丰子基金","吴刚","周阳、赵娜","91078901239234567"
"明瑞金融","金丰母基金","宏丰子基金","郑强","吴刚、孙浩","91089012393456789"
"辉丰传媒","瑞新母基金","金丰子基金","李华","郑强、周阳","91090123945678901"
"宏丰农业","丰新母基金","瑞新子基金","张华","李华、吴刚","91101239567890123"
"金丰工业","永新母基金","丰新子基金","王强","张华、郑强","91112349678901234"
"瑞新贸易","明新母基金","永新子基金","赵刚","王强、李华","91123459789012345"
"丰新服务","辉新母基金","明新子基金","孙明","赵刚、张华","91134569890123456"
"永新教育","宏新母基金","辉新子基金","陈丽","孙明、王强","91145679901234567"
"明新文创","金新母基金","宏新子基金","李强","陈丽、赵刚","91156780123456789"
"辉新物流","瑞新母基金","金新子基金","王丽","李强、孙明","91167890234567890"
"宏新科技","丰新母基金","瑞新子基金","刘勇","王丽、陈丽","91178903456789012"
"金新制造","永新母基金","丰新子基金","赵伟","刘勇、李强","91189045678901234"
"瑞新医疗","明新母基金","永新子基金","孙燕","赵伟、王丽","91190567890123456"
"丰新传媒","辉新母基金","明新子基金","周敏","孙燕、刘勇","91201678901234567"
"永新金融","宏新母基金","辉新子基金","吴昊","周敏、赵伟","91212789012345678"
"明新农业","金新母基金","宏新子基金","郑辉","吴昊、孙燕","91223459789012345"
"辉新工业","瑞新母基金","金新子基金","王涛","郑辉、周敏","91234569890123456"
