"名称","职务","所属公司","专家类型","联系方式"
"张三","技术总监","XX 科技有限公司","技术","138xxxx1234"
"李四","销售经理","YY 贸易有限公司","销售","139xxxx2345"
"王五","财务主管","ZZ 金融服务公司","财务","137xxxx3456"
"赵六","人力资源总监","AA 企业管理公司","人力","136xxxx4567"
"孙七","研发工程师","BB 软件开发公司","研发","135xxxx5678"
"周八","市场策划经理","CC 市场营销公司","市场","134xxxx6789"
"吴九","生产主管","DD 制造有限公司","生产","133xxxx7890"
"郑十","客服经理","EE 客户服务公司","客服","132xxxx8901"
"王十一","采购经理","FF 采购供应公司","采购","131xxxx9012"
"李十二","法务顾问","GG 律师事务所","法务","130xxxx0123"
"赵十三","项目经理","HH 项目管理公司","项目","129xxxx1234"
"孙十四","运营总监","II 运营管理公司","运营","128xxxx2345"
"周十五","设计主管","JJ 设计有限公司","设计","127xxxx3456"
"吴十六","数据分析经理","KK 数据分析公司","数据","126xxxx4567"
"郑十七","培训讲师","LL 培训教育公司","培训","125xxxx5678"
"王十八","质量控制经理","MM 质量检测公司","质量","124xxxx6789"
"李十九","物流经理","NN 物流运输公司","物流","123xxxx7890"
"赵二十","品牌推广经理","OO 品牌推广公司","品牌","122xxxx8901"
"孙二一","公关经理","PP 公关咨询公司","公关","121xxxx9012"
"周二二","战略顾问","QQ 战略咨询公司","战略","120xxxx0123"
