"资产编号","资产名称","使用状态","保修截止日期","当前领用人"
"001","笔记本电脑","在用","2024/05/01","张三"
"002","打印机","闲置","2025/03/15","李四"
"003","投影仪","在用","2023/12/30","王五"
"004","空调","在用","2026/07/20","赵六"
"005","办公桌椅","在用","2024/09/10","孙七"
"006","服务器","在用","2025/11/05","周八"
"007","扫描仪","闲置","2024/02/25","吴九"
"008","数码相机","在用","2023/08/30","郑十"
"009","文件柜","在用","2025/06/18","王十一"
"010","碎纸机","在用","2024/10/12","李十二"
"011","饮水机","在用","2023/04/05","赵十三"
"012","传真机","闲置","2025/08/22","孙十四"
"013","移动硬盘","在用","2024/03/18","周十五"
"014","交换机","在用","2025/12/08","吴十六"
"015","UPS 电源","在用","2024/07/02","郑十七"
"016","平板电脑","在用","2023/11/16","王十八"
"017","复印机","在用","2025/04/28","李十九"
"018","绘图仪","闲置","2024/01/10","赵二十"
"019","智能音箱","在用","2023/06/25","孙二一"
"020","电子白板","在用","2025/09/30","周二二"
