"出让人","投资基金","转让日期","出让认缴金额","出让实缴金额"
"张三","华瑞基金","2023/01/10","50000","30000"
"李四","丰泽基金","2023/02/15","60000","40000"
"王五","永盛基金","2023/03/20","70000","50000"
"赵六","明辉基金","2023/04/25","80000","60000"
"孙七","辉腾基金","2023/05/30","90000","70000"
"周八","宏远基金","2023/06/15","45000","30000"
"吴九","金瑞基金","2023/07/20","55000","40000"
"郑十","瑞丰基金","2023/08/25","65000","50000"
"王十一","晟宏基金","2023/09/30","75000","60000"
"李十二","永华基金","2023/10/15","85000","70000"
"赵十三","明盛基金","2023/11/20","95000","80000"
"孙十四","辉宏基金","2023/12/25","35000","20000"
"周十五","宏瑞基金","2024/01/30","45000","30000"
"吴十六","金辉基金","2024/02/15","55000","40000"
"郑十七","瑞昌基金","2024/03/20","65000","50000"
"王十八","丰瑞基金","2024/04/25","75000","60000"
"李十九","永新基金","2024/05/30","85000","70000"
"赵二十","明新基金","2024/06/15","95000","80000"
"孙二一","辉新基金","2024/07/20","35000","20000"
"周二二","宏新基金","2024/08/25","45000","30000"
"张三三","金新基金","2024/09/30","55000","40000"
"李四四","瑞新基金","2024/10/15","65000","50000"
"王五五","丰新基金","2024/11/20","75000","60000"
"李六六","永瑞基金","2024/12/25","85000","70000"
"赵七七","明瑞基金","2025/01/15","95000","80000"
"孙八八","辉瑞基金","2025/02/20","35000","20000"
"周九九","宏瑞基金","2025/03/25","45000","30000" 
