"项目经理","已投项目数量","已投资金额","已退出金额","项目总收入","投后项目数量","退出项目数量","全部退出项目数量"
"陈宇","10","8000000","3000000","12000000","15","6","3"
"林晓","8","6000000","2200000","9500000","12","4","2"
"张峰","7","5000000","1800000","8500000","10","3","1"
"王慧","9","7000000","2800000","11000000","13","5","2"
"赵阳","6","4500000","1500000","7000000","9","3","1"
"孙磊","8","5500000","2000000","9000000","11","4","2"
"李娜","7","4000000","1300000","7500000","9","2","1"
"吴敏","6","3500000","1000000","6000000","8","2","1"
"周涛","9","6500000","2500000","10000000","12","4","2"
"郑强","8","5000000","1600000","8000000","10","3","1"
"刘佳","7","4200000","1400000","7200000","9","2","1"
"杨明","6","3800000","1200000","6500000","8","2","1"
"胡军","8","4800000","1700000","8800000","11","3","1"
"黄婷","7","4000000","1500000","7500000","9","2","1"
"马辉","6","3200000","1100000","5800000","8","2","1"
